Title,Ratings,Book_format,Price,Cover
Practical Natural Language Processing: A Comprehensive Guide to Building Real-World NLP Systems,4.3 out of 5 stars,Paperback,£36.85,https://m.media-amazon.com/images/I/91pDCEA5uTL._AC_UY218_.jpg
"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-learn, 3rd Edition",4.5 out of 5 stars,Paperback,£26.99,https://m.media-amazon.com/images/I/61IQqt1LRbL._AC_UY218_.jpg
Machine Learning for Risk Calculations: A Practitioner′s View (The Wiley Finance Series),5.0 out of 5 stars,Hardcover,£49.64,https://m.media-amazon.com/images/I/41+cYmxl30L._AC_UY218_.jpg
"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn, and TensorFlow for Machine Learning and ... Learning & Data Science for Beginners)",4.4 out of 5 stars,Paperback,£15.54,https://m.media-amazon.com/images/I/61Hvr4Rk9wL._AC_UY218_.jpg
AWS Certified Machine Learning Study Guide: Specialty (MLS–C01) Exam,5.0 out of 5 stars,Paperback,£31.33,https://m.media-amazon.com/images/I/51uiR+9BaLL._AC_UY218_.jpg
"Agile Machine Learning with DataRobot: Automate each step of the machine learning life cycle, from understanding problems to delivering value",,Paperback,£37.99,https://m.media-amazon.com/images/I/610vEri2-xL._AC_UY218_.jpg
Multiple Anomaly Detection by Machine Learning of Rules in Time Series,,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/81LOjd0aKsL._AC_UY218_.jpg
"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools",4.0 out of 5 stars,Paperback,£31.19,https://m.media-amazon.com/images/I/91m1qz7cHqL._AC_UY218_.jpg
Blaze and the Monster Machines Season 1,,Prime Video,,https://m.media-amazon.com/images/I/810zP-t12RL._AC_UY218_.jpg
Machine Learning with Python: A Practical Beginners’ Guide: 2 (Machine Learning from Scratch),4.5 out of 5 stars,Paperback,£11.29,https://m.media-amazon.com/images/I/61EMBDPSekL._AC_UY218_.jpg
Machine Learning Prediction of Abnormal Situations for Predictive Maintenance- Optimal Transport Approaches for Anomaly Detection,,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/81LOjd0aKsL._AC_UY218_.jpg
The Gulf War: A Captivating Guide to the United States-Led Persian Gulf War against Iraq for Their Invasion and Annexation of Kuwait (Captivating History),3.9 out of 5 stars,Paperback,£10.21,https://m.media-amazon.com/images/I/61BRHSM4ttL._AC_UY218_.jpg
Machine Learning in Medicine - Cookbook (SpringerBriefs in Statistics),1.0 out of 5 stars,Paperback,£46.71,https://m.media-amazon.com/images/I/61ekM1VYQXL._AC_UY218_.jpg
AI and Machine Learning For Coders: A Programmer's Guide to Artificial Intelligence,4.8 out of 5 stars,Paperback,£31.49,https://m.media-amazon.com/images/I/71uB2OW3c0S._AC_UY218_.jpg
"Advanced R Statistical Programming and Data Models: Analysis, Machine Learning, and Visualization",3.8 out of 5 stars,Paperback,£31.13,https://m.media-amazon.com/images/I/61Q7X8tUFHL._AC_UY218_.jpg
Grokking Machine Learning,4.2 out of 5 stars,Paperback,£28.54,https://m.media-amazon.com/images/I/81dwFvKMTeL._AC_UY218_.jpg
Machine Learning: The New AI (The MIT Press Essential Knowledge Series),4.1 out of 5 stars,Paperback,£9.99,https://m.media-amazon.com/images/I/71Lz9L+MqZL._AC_UY218_.jpg
Tree-Based Machine Learning Methods in SAS® Viya®,,Paperback,£51.95,https://m.media-amazon.com/images/I/61vVDlqNreL._AC_UY218_.jpg
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,4.5 out of 5 stars,Paperback,£31.49,https://m.media-amazon.com/images/I/515HMHyy30L._AC_UY218_.jpg
Introduction to Machine Learning (Adaptive Computation and Machine Learning series),4.8 out of 5 stars,Hardcover,£41.65,https://m.media-amazon.com/images/I/717MAJeidnL._AC_UY218_.jpg
Machine Learning with scikit-learn and Tensorflow,1.0 out of 5 stars,Prime Video,£1.99,https://m.media-amazon.com/images/I/61nxBmXMn9L._AC_UY218_.jpg
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,4.1 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/611rv-5EnnL._AC_UY218_.jpg
The Recursive Universe: Cosmic Complexity and the Limits of Scientific Knowledge (Dover Books on Science),4.5 out of 5 stars,Paperback,£9.75,https://m.media-amazon.com/images/I/71oPcZt9XAL._AC_UY218_.jpg
Automated Machine Learning with Microsoft Azure: Build highly accurate and scalable end-to-end AI solutions with Azure AutoML,4.7 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/51VMMnDNOnL._AC_UY218_.jpg
Machine Learning: A Bayesian and Optimization Perspective,4.8 out of 5 stars,Hardcover,£52.96,https://m.media-amazon.com/images/I/81DOPSkpR-L._AC_UY218_.jpg
"Python for Beginners: Comprehensive Guide to the Basics of Programming, Machine Learning, Data Science and Analysis with Python.",3.1 out of 5 stars,Paperback,£19.95,https://m.media-amazon.com/images/I/61mnh8nwvPL._AC_UY218_.jpg
TRAVEL REVIEW RATING CLASSIFICATION AND PREDICTION USING MACHINE LEARNING WITH PYTHON GUI,,Kindle Edition,£7.62,https://m.media-amazon.com/images/I/71cqN-YJbML._AC_UY218_.jpg
"The Digital Mindset: What It Really Takes to Thrive in the Age of Data, Algorithms, and AI",,Hardcover,£19.36,https://m.media-amazon.com/images/I/71aHl0ehr8S._AC_UY218_.jpg
The Sewing Machine Accessory Bible,4.8 out of 5 stars,Paperback,£10.47,https://m.media-amazon.com/images/I/51SkBiNkAIL._AC_UY218_.jpg
Machine Learning Bookcamp: Build a Portfolio of Real-Life Projects,5.0 out of 5 stars,Paperback,£25.22,https://m.media-amazon.com/images/I/71IIsY+pxFL._AC_UY218_.jpg
Machine Learning Using TensorFlow Cookbook: Create powerful machine learning algorithms with TensorFlow,4.5 out of 5 stars,Paperback,£26.99,https://m.media-amazon.com/images/I/610vnpqCCiS._AC_UY218_.jpg
Machine Learning for Kids (Tinker Toddlers) (1),4.2 out of 5 stars,Hardcover,£11.75,https://m.media-amazon.com/images/I/71SkplRHAPL._AC_UY218_.jpg
Hello World: Being Human in the Age of Algorithms,4.5 out of 5 stars,Paperback,£10.48,https://m.media-amazon.com/images/I/71S-qeBWT2L._AC_UY218_.jpg
Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python,4.6 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71IGSpVh55L._AC_UY218_.jpg
Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists,4.2 out of 5 stars,Paperback,£30.75,https://m.media-amazon.com/images/I/91zmHDUBLoL._AC_UY218_.jpg
"Advanced Deep Learning with R: Become an expert at designing, building, and improving advanced neural network models using R",4.4 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61t4iqMcJdL._AC_UY218_.jpg
AI and Machine Learning for On-Device Development: A Programmer's Guide,4.0 out of 5 stars,Paperback,£30.91,https://m.media-amazon.com/images/I/810h+pz9IlL._AC_UY218_.jpg
Machine Learning Engineering in Action,,Kindle Edition,£32.20,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_UY218_.gif
Hands-on Machine Learning with Python: Implement Neural Network Solutions with Scikit-learn and PyTorch,,Paperback,£39.99,https://m.media-amazon.com/images/I/71-Vz5kvEpL._AC_UY218_.jpg
Diego Maradona,4.6 out of 5 stars,Prime Video,£2.49,https://m.media-amazon.com/images/I/71CFLfZo4NL._AC_UY218_.jpg
Python Machine Learning,4.4 out of 5 stars,Paperback,£20.22,https://m.media-amazon.com/images/I/51We6WYiapL._AC_UY218_.jpg
Taxonomy of the most commonly used Machine Learning Algorithms (Arificial Intelligence),5.0 out of 5 stars,Paperback,£7.63,https://m.media-amazon.com/images/I/61Nted-nkhL._AC_UY218_.jpg
"A Journey to Core Python: Experience the Applications of Tuples, Dictionary, Lists, Operators, Loops, Indexing, Slicing, and Matrices (English Edition)",,Paperback,£22.99,https://m.media-amazon.com/images/I/81fxPxmrL7L._AC_UY218_.jpg
